Catalyst key,Catalyst,Formula,Morphology
paper_1000|output_1000|chem_H_WO3,H-WO3,H-WO3,Hierarchical
paper_307|output_307|chem_NF-MOF,NF-MOF,,Faceted Polyhedron; Particle/Cluster; Porous Network
paper_308|output_308|chem_NCF_MOF,NCF-MOF,,Porous Network
paper_308|output_308|chem_NC_MOF,NC-MOF,,Porous Network
paper_308|output_308|chem_NF_MOF,NF-MOF,,Porous Network
paper_309|output_309|chem_Cu_C,Cu/C,Cu/C,Particle/Cluster; Porous Network
paper_309|output_309|chem_Ni0.25Cu0.75_C,Ni_{0.25}Cu_{0.75}/C,Ni_{0.25}Cu_{0.75}/C,Particle/Cluster
paper_309|output_309|chem_Ni0.50Cu0.50_C,Ni_{0.50}Cu_{0.50}/C,Ni_{0.50}Cu_{0.50}/C,Particle/Cluster; Porous Network
paper_309|output_309|chem_Ni0.75Cu0.25_C,Ni_{0.75}Cu_{0.25}/C,Ni_{0.75}Cu_{0.25}/C,Particle/Cluster; Porous Network
paper_309|output_309|chem_Ni_C,Ni/C,Ni/C,Generic Nanostructure; Particle/Cluster; Porous Network
paper_311|output_311|chem_MoNi4,MoNi4,MoNi4,Porous Network
paper_314|output_314|chem_ru_hc_ni_oh_2,Ru-HC-Ni(OH)₂,Ru-HC-Ni(OH)₂,2D Sheet; Hierarchical; Hollow/Core-Shell
paper_314|output_314|chem_ru_lc_ni_oh_2,Ru-LC-Ni(OH)₂,Ru-LC-Ni(OH)₂,2D Sheet; Hollow/Core-Shell; Porous Network
paper_315|output_315|chem_N_doped_defect_rich_C_nanosheets,chem_N_doped_defect_rich_C_nanosheets,,2D Sheet
paper_315|output_315|chem_Ru_MWCNT,Ru@MWCNT,Ru/MWCNT,1D Wire/Rod/Tube; Particle/Cluster
paper_315|output_315|chem_Ru_NCs_P_O_NiFe_LDH_NF,"Ru NCs/P,O-NiFe LDH/NF","Ru NCs/P,O-NiFe LDH/NF",2D Sheet; Porous Network
paper_319|output_319|chem_ni_fe_3s2_nff,"(Ni, Fe)3S2/NFF","(Ni, Fe)3S2",2D Sheet; Array/Aligned; Flower/Urchin/Dendrite; Generic Nanostructure; Particle/Cluster; Porous Network
paper_321|output_321|chem_RuCr@C,RuCr@C,,Particle/Cluster
paper_322|output_322|chem_Cr0.1Sn0.1Ru0.8O2,Cr_{0.1}Sn_{0.1}Ru_{0.8}O_2,Cr_{0.1}Sn_{0.1}Ru_{0.8}O_2,2D Sheet; Particle/Cluster
paper_324|output_324|chem_superhydrophobic_HMP_Al_PFOTS,superhydrophobic HMP Al surface,Al-PFOTS,Crystalline; Film/Coating; Generic Nanostructure; Hierarchical; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_326|output_326|chem_mkb,mKB,,Porous Network
paper_326|output_326|chem_nidmof,NiDMOF,[Ni2(BDC)2DABCO],Porous Network
paper_326|output_326|chem_nife_dmof,Ni(Fe)DMOF,[(Ni/Fe)2(BDC)2DABCO],Porous Network
paper_327|output_327|chem_WO3_annealed,annealed WO3 thin film,WO3,Film/Coating; Generic Nanostructure; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_327|output_327|chem_WO3_as_deposited,as-deposited WO3 thin film,WO3-x,Film/Coating; Generic Nanostructure; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_328|output_328|chem_NiFeB_LDH,NiFeB LDH,,2D Sheet
paper_328|output_328|chem_NiFeC_LDH,NiFeC LDH,,2D Sheet
paper_328|output_328|chem_NiFeP_LDH,NiFeP LDH,,2D Sheet
paper_329|output_329|chem_NiFe_BA_LDH,NiFe(BA) LDH,NiFe(BA) LDH,2D Sheet
paper_329|output_329|chem_NiFe_BDBA_LDH,NiFe(BDBA) LDH,NiFe(BDBA) LDH,2D Sheet
paper_329|output_329|chem_NiFe_BPBA_LDH,NiFe(BPBA) LDH,NiFe(BPBA) LDH,2D Sheet
paper_329|output_329|chem_NiFe_PBA_LDH,NiFe(PBA) LDH,NiFe(PBA) LDH,2D Sheet
paper_329|output_329|chem_NiFe_TB_LDH,NiFe(TB) LDH,NiFe(TB) LDH,2D Sheet
paper_32|output_32|chem_CdNNi3,CdNNi3,CdNNi3,Crystalline; Faceted Polyhedron; Particle/Cluster
paper_32|output_32|chem_CuNNi3,CuNNi3,CuNNi3,Faceted Polyhedron
paper_32|output_32|chem_InNNi3,InNNi3,InNNi3,Faceted Polyhedron
paper_32|output_32|chem_Raney_Ni,Raney Ni,Ni,Crystalline; Faceted Polyhedron; Particle/Cluster; Porous Network
paper_32|output_32|chem_ZnNNi3,ZnNNi3,ZnNNi3,Faceted Polyhedron
paper_332|output_332|chem_HEA_NCFCC_NF,HEA-NCFCC/NF,,1D Wire/Rod/Tube; Porous Network
paper_332|output_332|chem_HEA_NCFCC_NF_EA,HEA-NCFCC/NF@EA,,Film/Coating
paper_333|output_333|chem_HEA_100Ni,HEA-100Ni,NiFeMnCuCo,Particle/Cluster
paper_333|output_333|chem_HEA_25Ni,HEA-25Ni,NiFeMnCuCo,Particle/Cluster
paper_333|output_333|chem_HEA_50Ni,HEA-50Ni,NiFeMnCuCo,Particle/Cluster
paper_333|output_333|chem_HEA_75Ni,HEA-75Ni,NiFeMnCuCo,Particle/Cluster
paper_333|output_333|chem_HEA_FMCC,HEA-FMCC,FeMnCuCo,Particle/Cluster
paper_334|output_334|chem_NiFeCr_NF,NiFeCr/NF,,Crystalline; Hollow/Core-Shell; Porous Network
paper_334|output_334|chem_NiFe_NF,NiFe/NF,,Porous Network
paper_335|output_335|chem_Ni-Fe_nanoparticles,metallic Ni–Fe nanoparticles,,Particle/Cluster
paper_335|output_335|chem_Ni-Fe_oxyhydroxide,Ni–Fe (oxy)hydroxide,Ni(Fe)O_x H_y,Particle/Cluster
paper_337|output_337|chem_NiCu_10Acm2,NiCu thin film at 10 A/cm²,NiCu,Film/Coating
paper_337|output_337|chem_NiCu_15Acm2,NiCu thin film at 15 A/cm²,NiCu,Film/Coating
paper_337|output_337|chem_NiCu_15Acm2_50C,NiCu thin film at 15 A/cm² @ 50°C,NiCu,Film/Coating
paper_337|output_337|chem_NiCu_15Acm2_70C,NiCu thin film at 15 A/cm² @ 70°C,NiCu,Film/Coating
paper_337|output_337|chem_NiCu_5Acm2,NiCu thin film at 5 A/cm²,NiCu,Film/Coating
paper_339|output_339|chem_NiFe_LDH,NiFe LDH,Ni0.75Fe0.25(-CO3)0.125(OH)2·0.38H2O,2D Sheet; Porous Network
paper_339|output_339|chem_NiFe_LDH_CNA3,NiFe LDH—CNA3,,2D Sheet; Porous Network
paper_33|output_33|chem_Cu2S_CoFeCuOOH,Cu2S / CoFeCuOOH,,2D Sheet; Amorphous; Crystalline; Hollow/Core-Shell; Particle/Cluster; Rough/Wrinkled
paper_33|output_33|chem_Cu2S_control,Cu2S,,1D Wire/Rod/Tube; Porous Network
paper_33|output_33|chem_Cu_foam,Cu foam,,Porous Network
paper_341|output_341|chem_Ni2P_NPs,Ni2P nanoparticles,Ni2P,Particle/Cluster
paper_341|output_341|chem_Ni2P_film_Ni,chem_Ni2P_film_Ni,,Film/Coating
paper_342|output_342|chem_NCP_0,NCP-0,Ni-P,Film/Coating; Particle/Cluster
paper_342|output_342|chem_NCP_1,NCP-1,Ni-Cu-P,1D Wire/Rod/Tube; Particle/Cluster
paper_342|output_342|chem_NCP_2,NCP-2,Ni-Cu-P,1D Wire/Rod/Tube; Particle/Cluster
paper_342|output_342|chem_NCP_3,NCP-3,Ni-Cu-P,1D Wire/Rod/Tube; Particle/Cluster
paper_342|output_342|chem_NCP_4,NCP-4,Ni-Cu-P,1D Wire/Rod/Tube; Particle/Cluster
paper_342|output_342|chem_Ni_sheet,Ni sheet,Ni,Flower/Urchin/Dendrite
paper_343|output_343|chem_20wt_SSPE,20 wt% SSPE membrane,,2D Sheet; Generic Nanostructure; Particle/Cluster; Rough/Wrinkled
paper_347|output_347|chem_NiFe_LDHs,NiFe LDHs,M_{1-x}^{II}M_x^{III}(OH)_2(A^{n-})_{x/n}·yH_2O,2D Sheet
paper_347|output_347|chem_NiFe_LDHs_EDTA_AE,NiFe LDHs-EDTA-AE,,2D Sheet; Faceted Polyhedron; Generic Nanostructure; Rough/Wrinkled
paper_347|output_347|chem_NiFe_LDHs_TSC_AE,NiFe LDHs-TSC-AE,,2D Sheet
paper_34|output_34|chem_CAPist-L1,CAPist-L1,,Porous Network
paper_34|output_34|chem_Int-Ni_MoO2,Int-Ni/MoO2,Ni/MoO2,1D Wire/Rod/Tube; 2D Sheet; Flower/Urchin/Dendrite; Generic Nanostructure; Hierarchical; Particle/Cluster; Porous Network
paper_34|output_34|chem_NiMo_MoO2,NiMo/MoO2,NiMo/MoO2,1D Wire/Rod/Tube; 2D Sheet; Flower/Urchin/Dendrite; Generic Nanostructure; Hierarchical; Particle/Cluster; Porous Network
paper_350|output_350|chem_feooh_10nm_ldh,FeOOH_{10nm}/LDH,FeOOH/LDH,1D Wire/Rod/Tube; 2D Sheet; Generic Nanostructure; Particle/Cluster
paper_350|output_350|chem_feooh_18nm_ldh,FeOOH_{18nm}/LDH,FeOOH/LDH,1D Wire/Rod/Tube; 2D Sheet; Generic Nanostructure; Particle/Cluster
paper_350|output_350|chem_feooh_2nm_ldh,FeOOH_{2nm}/LDH,FeOOH/LDH,1D Wire/Rod/Tube; 2D Sheet; Generic Nanostructure; Particle/Cluster
paper_350|output_350|chem_ldh_6h,LDH-6h,Ni-Fe LDH,1D Wire/Rod/Tube; 2D Sheet; Flower/Urchin/Dendrite; Generic Nanostructure; Hierarchical; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_350|output_350|chem_ldh_s,LDH-s,Ni-Fe LDH,1D Wire/Rod/Tube; 2D Sheet; Flower/Urchin/Dendrite; Generic Nanostructure; Hierarchical; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_352|output_352|chem_FNO,FNO,FeNiO_x,Crystalline; Faceted Polyhedron; Particle/Cluster; Porous Network
paper_352|output_352|chem_Fe2O3,Fe2O3,Fe₂O₃,Crystalline
paper_352|output_352|chem_Fe3O4,Fe3O4,Fe₃O₄,Crystalline
paper_352|output_352|chem_FeNi2O4,FeNi2O4,FeNi₂O₄,Crystalline; Faceted Polyhedron; Particle/Cluster; Porous Network
paper_352|output_352|chem_FeO,FeO,FeO,Crystalline
paper_352|output_352|chem_NiO,NiO,NiO,Crystalline; Particle/Cluster
paper_352|output_352|chem_VFe_FNO,VFe-FNO,,Crystalline; Particle/Cluster
paper_353|output_353|chem_nc_ni3mo3n_nf,NC/Ni₃Mo₃N/NF,NC/Ni₃Mo₃N/NF,1D Wire/Rod/Tube; 2D Sheet; Film/Coating; Generic Nanostructure; Hierarchical; Particle/Cluster; Porous Network
paper_353|output_353|chem_ni3mo3n_nh3_nf,Ni₃Mo₃N–NH₃/NF,Ni₃Mo₃N/NF,1D Wire/Rod/Tube; Generic Nanostructure; Porous Network
paper_353|output_353|chem_nimoo4_xh2o_nf,NiMoO₄·xH₂O/NF,NiMoO₄·xH₂O/NF,2D Sheet; Film/Coating; Particle/Cluster; Porous Network
paper_356|output_356|chem_pt_c,commercial Pt/C (20 wt%),,1D Wire/Rod/Tube
paper_356|output_356|chem_pt_pttex_nrs,Pt/PtTe_x NRs,Pt/PtTe_x,1D Wire/Rod/Tube
paper_356|output_356|chem_ptte2_nrs,PtTe_2 NRs,PtTe_2,1D Wire/Rod/Tube
paper_357|output_357|chem_CoFe0.25Al1.75O4,CoFe0.25Al1.75O4,CoFe₀.₂₅Al₁.₇₅O₄,2D Sheet; Particle/Cluster
paper_358|output_358|chem_NiMoP_wood_aerogel,chem_NiMoP_wood_aerogel,,Porous Network
paper_358|output_358|chem_NiP_wood_aerogel,NiP/wood aerogel (Mo-0),NiP,Porous Network
paper_358|output_358|chem_SP_NiMoFe_OOH_NiMoP_wood_aerogel,chem_SP_NiMoFe_OOH_NiMoP_wood_aerogel,,Porous Network
paper_359|output_359|chem_w_ACs,W-ACs,,Generic Nanostructure; Particle/Cluster
paper_359|output_359|chem_wc_NPs,WC NPs,,Particle/Cluster
paper_35|output_35|chem_RuNPs_NC,RuNPs-N-C,,Particle/Cluster
paper_35|output_35|chem_RuNPs_RuCrAPs_NC,RuNPs-RuCrAPs-N-C,,Amorphous; Film/Coating; Particle/Cluster
paper_35|output_35|chem_RuNPs_RuSAs_NC,RuNPs-RuSAs-N-C,,Particle/Cluster
paper_35|output_35|chem_RuNPs_RuSAs_NC_plus_CrSAs_NC,Physically mixed RuNPs-RuSAs-N-C and CrSAs-N-C,,Particle/Cluster
paper_360|output_360|chem_Ni2Fe1_Ns,Ni2Fe1 Ns,Ni2Fe,Generic Nanostructure; Particle/Cluster; Porous Network
paper_360|output_360|chem_Ni2Fe1_PNs,Ni2Fe1 PNs,Ni2Fe,Generic Nanostructure; Particle/Cluster; Porous Network
paper_361|output_361|chem_NF10,NF10 electrode,NiFe LDHs–NiFe alloy gradient hybrid,1D Wire/Rod/Tube; Crystalline; Film/Coating; Flower/Urchin/Dendrite; Hierarchical
paper_362|output_362|chem_Fe0.4Co0.3Ni0.3-1.8,Fe_{0.4}Co_{0.3}Ni_{0.3}-1.8,Fe_{0.4}Co_{0.3}Ni_{0.3},Film/Coating; Particle/Cluster
paper_364|output_364|chem_NiFeP_0.15_LDH,NiFeP_{0.15} LDH,,1D Wire/Rod/Tube; 2D Sheet; Particle/Cluster
paper_364|output_364|chem_NiFeP_0.24_LDH,NiFeP_{0.24} LDH,,2D Sheet; Porous Network
paper_364|output_364|chem_NiFeP_0.32_LDH,NiFeP_{0.32} LDH,,2D Sheet; Faceted Polyhedron; Particle/Cluster
paper_365|output_365|chem_nife_ldh_nf,NiFe LDH/NF,,1D Wire/Rod/Tube; 2D Sheet; Generic Nanostructure; Particle/Cluster; Porous Network
paper_365|output_365|chem_s_nife_ldh_nf,S-NiFe LDH/NF,,2D Sheet; Porous Network
paper_367|output_367|chem_FeNi2O4,FeNi₂O₄,FeNi₂O₄,Hollow/Core-Shell; Particle/Cluster
paper_367|output_367|chem_VFe_FNO,V_{Fe}-FeNi₂O₄,V_{Fe}-FeNi₂O₄,Particle/Cluster
paper_369|output_369|chem_Fe-N-C,Fe-N-C,FeN4,1D Wire/Rod/Tube; Generic Nanostructure; Particle/Cluster; Porous Network
paper_36|output_36|chem_Pt_WS2,Pt@WS2,Pt@WS2,2D Sheet; Hollow/Core-Shell; Particle/Cluster
paper_36|output_36|chem_WS2,WS2,WS2,1D Wire/Rod/Tube; 2D Sheet; Crystalline; Generic Nanostructure; Particle/Cluster
paper_371|output_371|chem_D_NiFe_LDH,D-NiFe LDH,D-NiFe-LDH,2D Sheet; Crystalline; Generic Nanostructure; Particle/Cluster
paper_371|output_371|chem_NiFe_LDH,NiFe LDH,NiFe-LDH,2D Sheet; Crystalline; Particle/Cluster; Porous Network
paper_374|output_374|chem_RuNi_Fe2O3_IF,RuNi-Fe2O3/IF,"Ru,Ni-doped Fe₂O₃",2D Sheet; Hollow/Core-Shell; Porous Network
paper_376|output_376|chem_PtCoNiRuIr_C,PtCoNiRuIr/C,PtCoNiRuIr,Particle/Cluster
paper_377|output_377|chem_NiFe_LDH,NiFe LDH,,2D Sheet
paper_377|output_377|chem_NiFe_LDH_CA2,NiFe LDH-CA2,,1D Wire/Rod/Tube; 2D Sheet; Porous Network
paper_378|output_378|chem_NiFe_LDH_CO3,NiFe LDH-CO₃²⁻,,1D Wire/Rod/Tube; 2D Sheet; Generic Nanostructure
paper_378|output_378|chem_NiFe_LDH_Cl,NiFe LDH-Cl⁻,,1D Wire/Rod/Tube; 2D Sheet; Generic Nanostructure; Particle/Cluster; Porous Network
paper_378|output_378|chem_NiFe_LDH_F,NiFe LDH-F⁻,,1D Wire/Rod/Tube; 2D Sheet; Generic Nanostructure; Particle/Cluster; Porous Network
paper_380|output_380|chem_Ni-S-Mn,Ni-S-Mn electrode,,Amorphous; Crystalline; Flower/Urchin/Dendrite; Generic Nanostructure; Hierarchical; Hollow/Core-Shell; Particle/Cluster; Porous Network
paper_381|output_381|chem_LaNiO3,LaNiO3,LaNiO3,Particle/Cluster
paper_382|output_382|chem_NiFe2O4_ZnAl_EDTA_LDH,NiFe₂O₄/ZnAl-EDTA LDH,NiFe₂O₄/ZnAl-EDTA LDH,Particle/Cluster; Porous Network; Rough/Wrinkled
paper_383|output_383|chem_Ni3S2,Ni₃S₂,Ni₃S₂,1D Wire/Rod/Tube; 2D Sheet; Array/Aligned; Crystalline; Generic Nanostructure; Particle/Cluster; Porous Network
paper_383|output_383|chem_TiO2@Ni3S2,TiO₂@Ni₃S₂,TiO₂@Ni₃S₂,Array/Aligned
paper_385|output_385|chem_Ir_Se,Ir-Se,IrSe,Generic Nanostructure; Particle/Cluster
paper_385|output_385|chem_Pt_Se,Pt-Se,PtSe,Generic Nanostructure; Particle/Cluster
paper_385|output_385|chem_a_HE_Se,a-HE-Se,RuRhPdIrPt-Se,Flower/Urchin/Dendrite; Generic Nanostructure; Particle/Cluster
paper_385|output_385|chem_c_HE_Se,c-HE-Se,RuRhPdIrPt-Se,Particle/Cluster
paper_387|output_387|chem_RANEY_nickel_mesh,porous RANEY® nickel mesh,Ni_xAl_y,Porous Network
paper_388|output_388|chem_NiSe_Co0.85Se_NF,NiSe@Co0.85Se/NF,NiSe@Co0.85Se/NF,Film/Coating; Hollow/Core-Shell; Porous Network
paper_389|output_389|chem_CeO2_NF,CeO₂/NF,CeO₂/NF,1D Wire/Rod/Tube; 2D Sheet; Film/Coating; Porous Network
paper_389|output_389|chem_Ni3N_CeO2_NF,Ni₃N-CeO₂/NF,Ni₃N-CeO₂/NF,2D Sheet; Film/Coating; Generic Nanostructure; Particle/Cluster; Porous Network
paper_389|output_389|chem_Ni3N_NF,Ni₃N/NF,Ni₃N/NF,2D Sheet; Film/Coating; Hierarchical; Particle/Cluster; Porous Network
paper_38|output_38|chem_CoOx_nano,nano-size CoOx,CoOx,Hollow/Core-Shell; Particle/Cluster
paper_390|output_390|chem_NiFe_LDH,NiFe LDH,NiFe LDH,2D Sheet
paper_390|output_390|chem_NiFe_LDH_K3PO4_0.05M,NiFe LDH-K₃PO₄ = 0.05 M,NiFe LDH-PO₄³⁻,2D Sheet
paper_390|output_390|chem_NiFe_LDH_K3PO4_1.0M,NiFe LDH-K₃PO₄ = 1.0 M,NiFe LDH-PO₄³⁻,2D Sheet
paper_390|output_390|chem_NiFe_LDH_K3PO4_1.5M,NiFe LDH-K₃PO₄ = 1.5 M,NiFe LDH-PO₄³⁻,2D Sheet
paper_390|output_390|chem_NiFe_LDH_K3PO4_2.0M,NiFe LDH-K₃PO₄ = 2.0 M,NiFe LDH-PO₄³⁻,2D Sheet
paper_392|output_392|chem_NiFe_LDH,NiFe layered double hydroxide,"[Ni²⁺,…,Fe³⁺,(OH)₂]^(x+)(CO₃²⁻)_(x/2)·y(H₂O)",2D Sheet
paper_393|output_393|chem_CoFe_LDH,CoFe LDH,,2D Sheet
paper_394|output_394|chem_CCO_300,CCO-300,,Film/Coating
paper_394|output_394|chem_CCO_400,CCO-400,,Film/Coating
paper_394|output_394|chem_CCO_500,CCO-500,,Film/Coating
paper_394|output_394|chem_CC_10,CC-10,,1D Wire/Rod/Tube; Film/Coating; Hollow/Core-Shell; Rough/Wrinkled
paper_394|output_394|chem_CC_20,CC-20,,Film/Coating
paper_394|output_394|chem_CC_5,CC-5,,Film/Coating; Porous Network
paper_395|output_395|chem_NiFe_LDH_Adp,NiFe LDH Adp,,2D Sheet; Generic Nanostructure; Particle/Cluster; Porous Network
paper_395|output_395|chem_NiFe_LDH_CO,NiFe LDH CO,,2D Sheet; Particle/Cluster
paper_395|output_395|chem_NiFe_LDH_Seb,NiFe LDH Seb,,2D Sheet; Generic Nanostructure; Particle/Cluster; Porous Network
paper_395|output_395|chem_NiFe_LDH_Sub,NiFe LDH Sub,,Generic Nanostructure; Particle/Cluster; Porous Network
paper_395|output_395|chem_NiFe_LDH_Suc,NiFe LDH Suc,,2D Sheet; Generic Nanostructure; Particle/Cluster; Porous Network
paper_396|output_396|chem_Co9S8_V3S4_CC,Co9S8–V3S4/CC,Co₉S₈–V₃S₄,1D Wire/Rod/Tube; Generic Nanostructure; Porous Network
paper_397|output_397|chem_h2so4_c_nife,H₂SO₄-c-NiFe,,Amorphous; Porous Network
paper_397|output_397|chem_hcl_c_nife,HCl-c-NiFe,,1D Wire/Rod/Tube; 2D Sheet; Generic Nanostructure; Particle/Cluster; Porous Network
paper_397|output_397|chem_hno3_c_nife,HNO₃-c-NiFe,,1D Wire/Rod/Tube; Generic Nanostructure; Particle/Cluster; Porous Network
paper_397|output_397|chem_nife_foam,NiFe foam,,Porous Network
paper_399|output_399|chem_Fe2O3,Fe₂O₃,Fe₂O₃,1D Wire/Rod/Tube
paper_399|output_399|chem_NiO,NiO,NiO,Flower/Urchin/Dendrite; Porous Network; Rough/Wrinkled
paper_3|output_3|chem_Fe_foam,Fe foam,,Porous Network
paper_3|output_3|chem_IrO2_NiFe,IrO2-NiFe,,Porous Network
paper_3|output_3|chem_NiFe_LDH_NiFe,NiFe LDH@NiFe,,1D Wire/Rod/Tube; 2D Sheet; Crystalline; Film/Coating; Flower/Urchin/Dendrite; Generic Nanostructure; Hollow/Core-Shell; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_3|output_3|chem_NiFe_foam,NiFe foam,,1D Wire/Rod/Tube; 2D Sheet; Crystalline; Film/Coating; Flower/Urchin/Dendrite; Generic Nanostructure; Hollow/Core-Shell; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_402|output_402|chem_NiCu_MMO,NiCu mixed metal oxide (MMO),Ni-NiO-CuO,Generic Nanostructure; Particle/Cluster; Porous Network
paper_402|output_402|chem_NiCu_alloy,NiCu alloy,,Generic Nanostructure; Particle/Cluster; Porous Network
paper_402|output_402|chem_NiCu_oxide,NiCu oxide,,Generic Nanostructure; Particle/Cluster; Porous Network
paper_403|output_403|chem_RhPd-H,RhPd-H,RhPdH,2D Sheet; Generic Nanostructure; Hollow/Core-Shell; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_404|output_404|chem_epoxy,epoxy coatings,,Film/Coating
paper_404|output_404|chem_zb_ep,ZB/EP coatings,,Film/Coating
paper_404|output_404|chem_zbt_ep,ZBT/EP coatings,,Film/Coating
paper_404|output_404|chem_zif8_ep,ZIF-8/EP coatings,,Film/Coating
paper_405|output_405|chem_RuO2_110,RuO₂ (110),RuO2(110),Crystalline
paper_407|output_407|chem_Raney-Ni,Raney-Ni,,Porous Network
paper_409|output_409|chem_MnCoP_NF,MnCoP/NF,MnCoP,2D Sheet; Generic Nanostructure; Particle/Cluster; Porous Network
paper_40|output_40|chem_Cu1Pd2_Ru_coreshell,Cu1Pd2@Ru core-shell nanocrystals,,Crystalline; Faceted Polyhedron; Generic Nanostructure; Hollow/Core-Shell; Particle/Cluster
paper_40|output_40|chem_NiFe_LDH,NiFe layered double hydroxide,NiFe LDH,2D Sheet
paper_40|output_40|chem_Pt5.3_Ru_fcc_nanocages,Pt5.3%-Rufcc single-atom alloy nanocages,,Crystalline; Faceted Polyhedron; Hollow/Core-Shell; Particle/Cluster
paper_40|output_40|chem_Ru_fcc_nanocages,Rufcc nanocages,,Faceted Polyhedron
paper_410|output_410|chem_bio_FeS,bio-FeS,Fe_{0.95}S_{1.05},Particle/Cluster
paper_410|output_410|chem_bio_NiFeS,bio-NiFeS,Ni_{0.70}Fe_{0.26}S,Generic Nanostructure; Particle/Cluster; Porous Network
paper_410|output_410|chem_bio_NiS,bio-NiS,Ni_{0.96}S,Generic Nanostructure; Particle/Cluster; Porous Network
paper_411|output_411|chem_FeCoNiLaPd,FeCoNiLaPd,FeCoNiLaPd,Generic Nanostructure; Particle/Cluster
paper_411|output_411|chem_FeCoNiPd,FeCoNiPd,FeCoNiPd,Particle/Cluster
paper_412|output_412|chem_FeOOH,FeOOH,FeOOH,1D Wire/Rod/Tube; Array/Aligned; Generic Nanostructure; Hollow/Core-Shell
paper_412|output_412|chem_NiTe,NiTe,NiTe,Array/Aligned; Hollow/Core-Shell; Porous Network
paper_412|output_412|chem_NiTe_FeOOH,NiTe@FeOOH,NiTe@FeOOH,1D Wire/Rod/Tube; Array/Aligned; Generic Nanostructure; Hollow/Core-Shell
paper_414|output_414|chem_FeNi-BPDA_C,FeNi-BPDA/C,,Generic Nanostructure; Particle/Cluster; Porous Network
paper_414|output_414|chem_FeNi-BPDA_C_O,FeNi-BPDA/C(O),,Porous Network
paper_415|output_415|chem_ni2p_nf,Ni2P/NF,Ni2P/NF,Porous Network
paper_415|output_415|chem_nife_ldh_nf,NiFe LDH/NF,NiFe LDH/NF,1D Wire/Rod/Tube; 2D Sheet; Film/Coating; Flower/Urchin/Dendrite; Hierarchical; Hollow/Core-Shell; Particle/Cluster; Porous Network
paper_415|output_415|chem_w_ni2p_nf,W-Ni2P/NF,W-Ni2P/NF,1D Wire/Rod/Tube; 2D Sheet; Flower/Urchin/Dendrite; Generic Nanostructure; Hierarchical; Hollow/Core-Shell; Particle/Cluster; Porous Network
paper_415|output_415|chem_w_ni2p_nife_ldh_nf,W-Ni2P@NiFe LDH/NF,W-Ni2P@NiFe LDH/NF,1D Wire/Rod/Tube; 2D Sheet; Hierarchical; Hollow/Core-Shell; Particle/Cluster; Porous Network
paper_419|output_419|chem_Ni(OH)2,Ni(OH)₂,Ni(OH)₂,2D Sheet
paper_419|output_419|chem_NiFe_LDH,NiFe-LDH,NiFe-LDH,2D Sheet; Particle/Cluster
paper_419|output_419|chem_NiFe_LDH_Ni(OH)2,NiFe-LDH/Ni(OH)₂,NiFe-LDH/Ni(OH)₂,2D Sheet; Particle/Cluster; Porous Network
paper_41|output_41|chem_NiFe_LDH,NiFe-LDH,,2D Sheet
paper_41|output_41|chem_a_NMO,a-NMO,NiMoOx,Amorphous; Crystalline; Particle/Cluster
paper_41|output_41|chem_a_RNMO,a-RNMO,RuNiMoOx,Amorphous; Crystalline; Particle/Cluster
paper_41|output_41|chem_c_NMO,c-NMO,NiMoO4,Amorphous; Crystalline; Particle/Cluster
paper_420|output_420|chem_MFN_0,MFN-0,Fe-Ni3S2/FeS2,1D Wire/Rod/Tube; Array/Aligned; Generic Nanostructure; Particle/Cluster; Porous Network
paper_420|output_420|chem_MFN_0.25,MFN-0.25,Fe-doped Ni3S2/MoOx,1D Wire/Rod/Tube; Array/Aligned; Generic Nanostructure; Particle/Cluster; Porous Network
paper_420|output_420|chem_MFN_0.5,MFN-0.5,Fe-doped Ni3S2/MoOx,1D Wire/Rod/Tube; Array/Aligned; Generic Nanostructure; Particle/Cluster; Porous Network
paper_420|output_420|chem_MFN_0.75,MFN-0.75,Fe-doped Ni3S2/MoOx,1D Wire/Rod/Tube; Array/Aligned; Generic Nanostructure; Particle/Cluster; Porous Network
paper_420|output_420|chem_MN_0.5,MN-0.5,Ni3S2/MoOx,Porous Network
paper_423|output_423|chem_P-NiMoO4_Fe2O3,P-NiMoO₄@Fe₂O₃,P-NiMoO₄@Fe₂O₃,1D Wire/Rod/Tube; Film/Coating
paper_424|output_424|chem_Ni65Fe35_OOH,Ni65Fe35(OOH),Ni65Fe35(OOH),2D Sheet; Film/Coating
paper_424|output_424|chem_Ni75Fe25_OOH,Ni75Fe25(OOH),Ni75Fe25(OOH),Film/Coating
paper_425|output_425|chem_NiFeMo,Ultrathin NiFe LDH nanosheets with MoO42-intercalation,NiFeMo-LDH,2D Sheet; Generic Nanostructure; Particle/Cluster
paper_427|output_427|chem_NiCo2S4_CFC,NiCo_2S_4 / CFC,NiCo_2S_4,1D Wire/Rod/Tube; Porous Network
